ORIGEN,DESTINO,MOTIVO,VIAJES
LAMPAZOS DE NARANJO,(OTRA ENTIDAD),estudio,20.0
LAMPAZOS DE NARANJO,(OTRO MUNICIPIO),estudio,165.8
LINARES,(MISMO MUNICIPIO),estudio,21623.2
LINARES,(OTRA ENTIDAD),estudio,76.0
LINARES,(OTRO MUNICIPIO),estudio,813.8
LOS ALDAMAS,(MISMO MUNICIPIO),estudio,236.6
LOS ALDAMAS,(OTRA ENTIDAD),estudio,13.0
LOS ALDAMAS,(OTRO MUNICIPIO),estudio,29.4
LOS HERRERAS,(MISMO MUNICIPIO),estudio,315.1
LOS HERRERAS,(OTRA ENTIDAD),estudio,18.0
LOS HERRERAS,(OTRO MUNICIPIO),estudio,16.9
LOS RAMONES,(MISMO MUNICIPIO),estudio,1077.4
LOS RAMONES,(OTRA ENTIDAD),estudio,70.0
LOS RAMONES,(OTRO MUNICIPIO),estudio,41.6
MARIN,(MISMO MUNICIPIO),estudio,1057.1
MARIN,(OTRA ENTIDAD),estudio,3.0
MARIN,(OTRO MUNICIPIO),estudio,154.9
MELCHOR OCAMPO,(MISMO MUNICIPIO),estudio,255.2
MELCHOR OCAMPO,(OTRA ENTIDAD),estudio,7.0
MELCHOR OCAMPO,(OTRO MUNICIPIO),estudio,31.8
MIER Y NORIEGA,(MISMO MUNICIPIO),estudio,2084.8
MIER Y NORIEGA,(OTRA ENTIDAD),estudio,9.0
MIER Y NORIEGA,(OTRO MUNICIPIO),estudio,39.2
MINA,(MISMO MUNICIPIO),estudio,1253.3
MINA,(OTRA ENTIDAD),estudio,0.0
MINA,(OTRO MUNICIPIO),estudio,300.7
MONTEMORELOS,(MISMO MUNICIPIO),estudio,14423.9
MONTEMORELOS,(OTRA ENTIDAD),estudio,0.0
MONTEMORELOS,(OTRO MUNICIPIO),estudio,759.6
MONTERREY,(MISMO MUNICIPIO),estudio,235704.3
MONTERREY,(OTRA ENTIDAD),estudio,2452.0
MONTERREY,(OTRO MUNICIPIO),estudio,15839.8
PARAS,(MISMO MUNICIPIO),estudio,144.9
PARAS,(OTRA ENTIDAD),estudio,5.0
PARAS,(OTRO MUNICIPIO),estudio,40.1
PESQUERIA,(MISMO MUNICIPIO),estudio,32835.5
PESQUERIA,(OTRA ENTIDAD),estudio,319.0
PESQUERIA,(OTRO MUNICIPIO),estudio,4574.3
RAYONES,(MISMO MUNICIPIO),estudio,471.9
RAYONES,(OTRA ENTIDAD),estudio,2.0
RAYONES,(OTRO MUNICIPIO),estudio,13.1
SABINAS HIDALGO,(MISMO MUNICIPIO),estudio,8226.1
SABINAS HIDALGO,(OTRA ENTIDAD),estudio,52.0
SABINAS HIDALGO,(OTRO MUNICIPIO),estudio,264.9
SALINAS VICTORIA,(MISMO MUNICIPIO),estudio,18234.3
SALINAS VICTORIA,(OTRA ENTIDAD),estudio,58.0
SALINAS VICTORIA,(OTRO MUNICIPIO),estudio,2799.7
SAN NICOLAS DE LOS GARZA,(MISMO MUNICIPIO),estudio,68889.7
SAN NICOLAS DE LOS GARZA,(OTRA ENTIDAD),estudio,141.0
SAN NICOLAS DE LOS GARZA,(OTRO MUNICIPIO),estudio,19707.4
SAN PEDRO GARZA GARCIA,(MISMO MUNICIPIO),estudio,19212.7
SAN PEDRO GARZA GARCIA,(OTRA ENTIDAD),estudio,297.0
SAN PEDRO GARZA GARCIA,(OTRO MUNICIPIO),estudio,9125.3
SANTA CATARINA,(MISMO MUNICIPIO),estudio,59555.3
SANTA CATARINA,(OTRA ENTIDAD),estudio,167.0
SANTA CATARINA,(OTRO MUNICIPIO),estudio,18359.5
SANTIAGO,(MISMO MUNICIPIO),estudio,8618.3
SANTIAGO,(OTRA ENTIDAD),estudio,44.0
SANTIAGO,(OTRO MUNICIPIO),estudio,2309.9
VALLECILLO,(MISMO MUNICIPIO),estudio,219.8
VALLECILLO,(OTRA ENTIDAD),estudio,1.0
VALLECILLO,(OTRO MUNICIPIO),estudio,66.2
VILLALDAMA,(MISMO MUNICIPIO),estudio,541.1
VILLALDAMA,(OTRA ENTIDAD),estudio,2.0
VILLALDAMA,(OTRO MUNICIPIO),estudio,147.9
