ORIGEN,DESTINO,MOTIVO,VIAJES
MEZQUITIC,(OTRO MUNICIPIO),trabajo,71.3
MIXTLAN,(MISMO MUNICIPIO),trabajo,1378.8
MIXTLAN,(OTRA ENTIDAD),trabajo,3.0
MIXTLAN,(OTRO MUNICIPIO),trabajo,111.2
OCOTLAN,(MISMO MUNICIPIO),trabajo,43576.0
OCOTLAN,(OTRA ENTIDAD),trabajo,211.0
OCOTLAN,(OTRO MUNICIPIO),trabajo,3425.0
OJUELOS DE JALISCO,(MISMO MUNICIPIO),trabajo,10681.2
OJUELOS DE JALISCO,(OTRA ENTIDAD),trabajo,3543.0
OJUELOS DE JALISCO,(OTRO MUNICIPIO),trabajo,1592.3
PIHUAMO,(MISMO MUNICIPIO),trabajo,4269.1
PIHUAMO,(OTRA ENTIDAD),trabajo,101.0
PIHUAMO,(OTRO MUNICIPIO),trabajo,36.9
PONCITLAN,(MISMO MUNICIPIO),trabajo,14750.6
PONCITLAN,(OTRA ENTIDAD),trabajo,119.0
PONCITLAN,(OTRO MUNICIPIO),trabajo,5494.3
PUERTO VALLARTA,(MISMO MUNICIPIO),trabajo,144107.5
PUERTO VALLARTA,(OTRA ENTIDAD),trabajo,8167.0
PUERTO VALLARTA,(OTRO MUNICIPIO),trabajo,522.5
QUITUPAN,(MISMO MUNICIPIO),trabajo,2185.9
QUITUPAN,(OTRA ENTIDAD),trabajo,17.0
QUITUPAN,(OTRO MUNICIPIO),trabajo,7.1
SAN CRISTOBAL DE LA BARRANCA,(MISMO MUNICIPIO),trabajo,934.8
SAN CRISTOBAL DE LA BARRANCA,(OTRA ENTIDAD),trabajo,8.0
SAN CRISTOBAL DE LA BARRANCA,(OTRO MUNICIPIO),trabajo,22.2
SAN DIEGO DE ALEJANDRIA,(MISMO MUNICIPIO),trabajo,2941.0
SAN DIEGO DE ALEJANDRIA,(OTRA ENTIDAD),trabajo,354.0
SAN DIEGO DE ALEJANDRIA,(OTRO MUNICIPIO),trabajo,90.7
SAN GABRIEL,(MISMO MUNICIPIO),trabajo,6028.8
SAN GABRIEL,(OTRA ENTIDAD),trabajo,3.0
SAN GABRIEL,(OTRO MUNICIPIO),trabajo,218.2
SAN IGNACIO CERRO GORDO,(MISMO MUNICIPIO),trabajo,6709.2
SAN IGNACIO CERRO GORDO,(OTRA ENTIDAD),trabajo,42.0
SAN IGNACIO CERRO GORDO,(OTRO MUNICIPIO),trabajo,302.8
SAN JUAN DE LOS LAGOS,(MISMO MUNICIPIO),trabajo,31233.2
SAN JUAN DE LOS LAGOS,(OTRA ENTIDAD),trabajo,147.0
SAN JUAN DE LOS LAGOS,(OTRO MUNICIPIO),trabajo,164.8
SAN JUANITO DE ESCOBEDO,(MISMO MUNICIPIO),trabajo,2769.4
SAN JUANITO DE ESCOBEDO,(OTRA ENTIDAD),trabajo,29.0
SAN JUANITO DE ESCOBEDO,(OTRO MUNICIPIO),trabajo,518.6
SAN JULIAN,(MISMO MUNICIPIO),trabajo,6974.6
SAN JULIAN,(OTRA ENTIDAD),trabajo,212.0
SAN JULIAN,(OTRO MUNICIPIO),trabajo,302.3
SAN MARCOS,(MISMO MUNICIPIO),trabajo,1257.4
SAN MARCOS,(OTRA ENTIDAD),trabajo,25.0
SAN MARCOS,(OTRO MUNICIPIO),trabajo,210.6
